nama_barang,tipe,rata_rata_per_hari,frekuensi_total,tanggal_terakhir_digunakan,id_barang
(2pcs),alat,2.0,1,2025-05-08,A236532
(4 set),alat,1.0,1,2025-12-09,A363419
(Kateter steril,alat,1.0,2,2025-12-08,A736589
(Kateter steril,bahan,1.0,2,2025-12-08,B736589
(darurat),alat,1.0,1,2025-04-23,A393518
(handscoon steril,alat,1.0,1,2025-02-26,A402336
) alkohol swab,bahan,1.0,1,2025-05-15,B654085
-Aquades,bahan,1.0,3,2025-07-31,B273859
-Materi Edukasi(4pcs) Timbangan BB(4pcs) Pengukur TB (4pcs) Bengkok 4 buah,alat,1.0,1,2025-08-15,A416935
-Meteran LILA (4pcs),alat,1.0,1,2025-08-15,A949709
-NACL,alat,1.0,2,2025-07-31,A202578
-NACL 1 kolf,alat,1.0,1,2025-07-29,A080077
-OPA,alat,1.0,3,2025-07-31,A787361
-Penlight(4pcs),alat,1.0,1,2025-08-15,A306504
-Reflek hammer(4pcs),alat,1.0,1,2025-08-15,A837935
-Set TTV tensimeter,alat,1.0,1,2025-08-15,A236642
-Set untuk Manuver Leopold Meteran/metline 2 sisi (cm dan inc),alat,1.0,1,2025-08-15,A676129
-Set untuk perineal hygiene jika perlu (handscoon,alat,1.0,1,2025-08-15,A683973
-ambubag,bahan,1.0,3,2025-07-31,B509782
-baging,bahan,1.0,3,2025-07-31,B847985
-bengkok,alat,1.0,4,2025-12-22,A274479
-betadine,alat,1.0,3,2025-07-31,A369976
-doppler,alat,1.0,1,2025-08-15,A453274
-gayung,alat,1.0,1,2025-12-22,A825362
-gelas,alat,1.0,3,2025-07-31,A047424
-handuk,alat,1.0,3,2025-07-31,A330533
-kapas,bahan,1.0,1,2025-12-22,B713253
-kasa,alat,1.0,3,2025-07-31,A729886
-kasa,bahan,1.0,3,2025-07-31,B729886
-kateter suction,alat,1.0,3,2025-07-31,A437126
-kom,alat,1.0,3,2025-07-31,A362297
-komb,alat,1.0,1,2025-12-22,A325810
-nasafaringeal,bahan,1.0,3,2025-07-31,B396364
-nasal kanul,alat,1.0,3,2025-07-31,A272185
-nebulezer,alat,1.0,3,2025-07-31,A745957
-nrm,alat,1.0,3,2025-07-31,A245379
-oksigen,alat,1.0,3,2025-07-31,A639759
-orofaringel,bahan,1.0,3,2025-07-31,B398489
-perlak,alat,1.0,1,2025-12-22,A858988
-pisvot,alat,1.0,1,2025-12-22,A445312
-plaster,bahan,1.0,3,2025-07-31,B489984
-pot sputum,alat,1.0,3,2025-07-31,A880120
-rm,alat,1.0,3,2025-07-31,A923796
-saturasi oksigen,alat,1.0,3,2025-07-31,A567979
-slang nebulezer,alat,1.0,3,2025-07-31,A716911
-spet 50,alat,1.0,3,2025-07-31,A703030
-stetoskop,alat,1.0,1,2025-07-29,A075441
-tissue,bahan,1.0,1,2025-12-22,B126414
-tisu,bahan,1.0,1,2025-07-29,B108736
-tong spatel,alat,1.0,3,2025-07-31,A209254
0) Kantong jenazah jika diperlukan,alat,1.0,1,2025-04-25,A887567
05 cc/ 1 cc ( 2 pcs),alat,1.0,1,2025-08-15,A222872
05 ml,bahan,1.0,1,2025-02-10,B257654
05 ml (untuk vaksin BCG),bahan,1.0,1,2025-08-13,B911212
05 ml (untuk vaksin BCG) (1pcs),alat,1.0,1,2025-08-14,A181715
05 ml 0,alat,1.0,1,2025-01-10,A957144
1 Bak instrumen,alat,1.0,1,2025-07-02,A641348
1 Foto,bahan,1.0,1,2025-07-02,B406645
1 Kom,alat,1.0,1,2025-07-02,A389475
1 Kopi,bahan,1.0,1,2025-07-02,B580645
1 Latela,alat,1.0,1,2025-07-02,A514676
1 Pen like,alat,1.0,1,2025-07-02,A105483
1 Set alat ganti balut,alat,1.0,1,2025-09-16,A860489
1 Set redresing,alat,1.0,1,2025-04-16,A454326
1 Set skintraksi,alat,1.0,1,2025-04-16,A097069
1 Stetoskop,alat,1.0,1,2025-07-02,A493030
1 Tisu,bahan,1.0,1,2025-07-02,B883977
1 Tong spatel,alat,1.0,1,2025-07-02,A625200
1 berisi betadin,alat,1.0,1,2025-11-02,A255319
1 buah washlap,alat,1.0,1,2025-03-20,A045590
1 cc,bahan,1.0,5,2025-07-30,B228040
1 kiri),alat,1.0,1,2025-11-02,A030247
1 kotak Handscoon,bahan,1.0,1,2025-07-02,B204606
1 set alat pemasangan kateter,alat,1.0,1,2025-06-05,A241374
1 set bantuan adl pada lansia,alat,1.0,1,2025-11-20,A463880
1 set bantuan adl pada lansia,bahan,1.0,1,2025-11-20,B463880
1 set latihan fisik pada lansia,alat,1.0,1,2025-11-20,A190796
1 set latihan fisik pada lansia,bahan,1.0,1,2025-11-20,B190796
1 set latihan kognitif,alat,1.0,1,2025-11-20,A352828
1 set latihan kognitif,bahan,1.0,1,2025-11-20,B352828
1 set pemasangan kateter,bahan,1.0,1,2025-06-05,B543700
1 untuk air ketuban),alat,1.25,8,2025-12-18,A767310
1 untuk air ketuban),bahan,1.0,2,2025-12-02,B767310
1/2 Kocher,alat,1.0,1,2025-11-02,A842409
10 cc,bahan,1.0,1,2025-07-25,B982266
10 cc (2 bh),bahan,1.0,4,2025-07-30,B405627
2 Baskom mandi,alat,1.2,5,2025-09-30,A948370
2 badung bayi,alat,1.0,2,2025-08-12,A399204
2 buah handuk,alat,1.0,1,2025-03-20,A596739
2 buah sisir,alat,1.0,1,2025-03-20,A150296
2 kain dan 2 handuk bersih dan kering,alat,1.25,8,2025-12-18,A129211
2 kain dan 2 handuk bersih dan kering,bahan,1.0,2,2025-12-02,B129211
2 kain dan 2 handuk bersih dan kering Lampu sorot 60 watt,alat,1.0,2,2025-05-02,A638715
2 kom 2handuk Alas meja,alat,1.0,1,2025-03-13,A542315
2 lagi kosong),alat,1.0,1,2025-11-02,A261483
2 pantom bayi,alat,1.0,2,2025-08-12,A542570
20cc,bahan,1.0,1,2025-07-25,B261208
20cc dan 10cc,alat,1.0,4,2025-07-30,A845722
26G27G untuk subkutan/intradermal),bahan,1.0,1,2025-08-26,B631844
2pcs,bahan,1.0,1,2025-10-28,B882747
3W 1 pcs,alat,1.0,1,2025-12-09,A218950
5 (1 buah),bahan,1.0,1,2025-01-30,B556884
5 (1 pcs),bahan,1.0,1,2025-01-23,B065322
5 CC,alat,1.0,1,2025-11-02,A361523
5 Lembar portograf,alat,1.0,2,2025-05-02,A948716
5 cc,bahan,1.0,5,2025-07-30,B512618
5 cc (2 buah),bahan,1.17,6,2025-12-18,B029043
5 cc 2 buah,alat,1.0,1,2025-04-02,A166300
5 ml,bahan,1.0,1,2025-02-10,B805697
5 ml (untuk vaksin selain BCG) (1pcs),alat,1.0,1,2025-08-14,A499940
5 ml (untuk vaksin selain BCG) ADS 5 ml (untuk melarutkan vaksin) Kapas dan air matang,bahan,1.0,1,2025-08-13,B953110
5 ml 1 ml sesuai jenis vaksin),alat,1.0,1,2025-01-10,A029238
5 tisu,alat,1.0,1,2025-02-26,A874674
5 tisu,bahan,1.0,1,2025-02-26,B874674
50 cc (2 bh),bahan,1.0,1,2025-07-25,B443141
9 (1 buah),bahan,1.33,3,2025-12-03,B244377
9 (1 kolf),bahan,1.0,1,2025-07-28,B251630
9 (100 mL),bahan,1.0,1,2025-07-30,B149668
9 (1pcs),bahan,1.0,1,2025-05-08,B067538
9 (3),bahan,1.0,2,2025-07-30,B173573
9 (irigasi luka) Antiseptik luka Povidone iodine atau Chlorhexidine,bahan,1.5,2,2025-06-02,B046543
9 (perineum) Antiseptik (sesuai SOP),bahan,1.14,14,2025-12-18,B638097
9 (sesuai kebijakan),bahan,1.0,1,2025-10-13,B620298
9 (untuk flushing),bahan,1.0,2,2025-11-08,B259765
9 1 kolf,alat,2.0,1,2025-10-09,A265558
9 1 kolf,bahan,2.0,4,2025-12-09,B265558
9 1 kolf (1 pcs),alat,1.0,1,2025-08-28,A192706
9 1 kolf (1 pcs),bahan,1.0,1,2025-08-28,B192706
9 1 kolf kapas bulat,bahan,1.0,1,2025-04-08,B621214
9 1 pcs Com kecil 1 pcs Gunting jaringan 1 pcs,alat,1.0,1,2025-12-09,A587765
9 2 buah,bahan,1.0,1,2025-11-02,B339129
9 2 kolf (untuk uji posisi),bahan,1.0,1,2025-05-12,B004872
9 3 kolf,bahan,1.0,1,2025-04-12,B390065
9 Antiseptik,bahan,2.2,15,2025-11-19,B588553
9 Antiseptik kulit (povidone iodine/chlorhexidine),bahan,1.0,1,2025-01-21,B240152
9 Betadine / povidone iodine,bahan,1.0,1,2025-01-12,B650385
9 Sisir,alat,1.0,2,2025-11-21,A598567
9 dalam spuit (untuk flushing),bahan,1.0,5,2025-11-08,B881694
9 untuk Bengkok (nierbekken),alat,1.0,1,2025-04-02,A537312
9) Alkohol 70,bahan,1.0,2,2025-05-02,B915081
9) Cairan infus RL,bahan,1.0,1,2025-10-30,B965995
92 btl irigator,alat,1.43,7,2025-12-02,A631969
92 btl irigator,bahan,1.0,8,2025-12-02,B631969
92 btl irigator Sterobach,alat,1.0,1,2025-05-02,A404090
92 btl irigator Sterobach,bahan,1.67,3,2025-10-04,B404090
92 btl irigator Sterobach (1),bahan,1.25,4,2025-08-05,B800206
92 btl irigator SterobachPlester Hypafix,bahan,1.0,1,2025-02-14,B522410
A Air masak/ nacl,alat,1.0,1,2025-03-20,A361528
A Bak instrumen berisi,alat,1.0,1,2025-08-28,A320951
A Bak instrumen berisi,bahan,1.0,1,2025-08-28,B320951
A Com menengah,alat,1.0,1,2025-05-11,A481494
A Skin traksi,alat,1.0,1,2025-07-10,A308832
A Skin traksi ut dewasa,alat,1.0,4,2025-12-11,A669477
ADS 0,alat,2.0,1,2025-08-14,A036363
ADS 0,bahan,2.0,2,2025-08-13,B036363
ADS 5 ml,bahan,1.0,1,2025-02-10,B112930
ADS 5 ml (untuk melarutkan vaksin) (1pcs),alat,1.0,1,2025-08-14,A222049
AED,alat,1.0,2,2025-12-02,A563315
AED (Automated External,alat,1.0,1,2025-06-05,A667374
AED (Automated External Defibrillator) atau defibrillator simulator,bahan,1.0,1,2025-06-05,B924623
AED (Defibrilator,alat,1.0,1,2025-02-05,A892161
AED 1,bahan,1.0,1,2025-12-02,B272172
AED Trainer,alat,1.0,1,2025-04-30,A297315
AED Trainer,bahan,1.0,1,2025-04-30,B297315
ANC,alat,1.0,2,2025-07-28,A848928
ANC,bahan,1.0,2,2025-07-28,B848928
APD,alat,1.0,1,2025-07-08,A295089
APD (2pcs),alat,1.0,1,2025-05-08,A946242
APD (Celemek,alat,1.0,2,2025-12-09,A186958
APD (handschoon,alat,1.11,9,2025-11-19,A619624
APD (handschoon,bahan,1.5,2,2025-10-11,B619624
APD (handscoon,alat,1.5,2,2025-09-17,A253136
APD (handscoon,bahan,1.0,1,2025-03-19,B253136
APD sarung tangan steril,bahan,1.0,1,2025-08-15,B963113
Abocate no 16 atau 18,alat,2.5,4,2025-10-09,A991477
Abocate no 16 atau 18,bahan,2.4,5,2025-10-09,B991477
Abocath,bahan,1.0,1,2025-12-08,B358229
Abocath / IV catheter (ukuran sesuai kebutuhan 1824G) Cairan infus (NaCl 0,bahan,1.0,1,2025-07-02,B124802
Abocath / IV catheter Spuit,bahan,1.0,1,2025-08-15,B336465
Abocath 1pcs Infus set 1,alat,1.0,2,2025-06-10,A486190
Abocath no 16 18,alat,2.33,3,2025-12-09,A374287
Abocath no 16 at 18 (1 pcs),alat,1.0,1,2025-08-28,A672710
Abocath no 16 at 18 (1 pcs),bahan,1.0,1,2025-08-28,B672710
Abocath no 16 at 18 Plester transparan Kassa steril 1 bks( isi 10) Giving infus set,bahan,2.0,1,2025-10-09,B085913
Abocath/IV catheter (ukuran sesuai kebutuhan 1824G),alat,1.0,1,2025-04-02,A279642
Acucheck,alat,1.0,1,2025-01-17,A827477
Aed,alat,1.0,1,2025-08-09,A794782
Air,bahan,1.0,1,2025-02-13,B355018
Air DTT,bahan,1.0,1,2025-11-02,B423644
Air DTT dalam tempatnya,alat,1.1,20,2025-12-11,A202898
Air DTT dalam tempatnya,bahan,1.0,7,2025-11-03,B202898
Air bersih,bahan,1.0,3,2025-10-09,B957863
Air bersih / NaCl 0,bahan,1.14,14,2025-12-18,B675615
Air dalam baskom,alat,1.0,1,2025-04-25,A234217
Air dingin dan air hangat Sabun bayi,alat,2.0,1,2025-08-10,A238201
Air dtt,bahan,2.33,3,2025-12-19,B672066
Air hangat,alat,1.0,1,2025-02-27,A826743
Air hangat,bahan,1.2,5,2025-10-31,B826743
