nama_barang,tipe,rata_rata_per_hari
(2pcs),alat,2.0
(4 set),alat,1.0
(Kateter steril,alat,1.0
(Kateter steril,bahan,1.0
(darurat),alat,1.0
(handscoon steril,alat,1.0
) alkohol swab,bahan,1.0
-Aquades,bahan,1.0
-Materi Edukasi(4pcs) Timbangan BB(4pcs) Pengukur TB (4pcs) Bengkok 4 buah,alat,1.0
-Meteran LILA (4pcs),alat,1.0
-NACL,alat,1.0
-NACL 1 kolf,alat,1.0
-OPA,alat,1.0
-Penlight(4pcs),alat,1.0
-Reflek hammer(4pcs),alat,1.0
-Set TTV tensimeter,alat,1.0
-Set untuk Manuver Leopold Meteran/metline 2 sisi (cm dan inc),alat,1.0
-Set untuk perineal hygiene jika perlu (handscoon,alat,1.0
-ambubag,bahan,1.0
-baging,bahan,1.0
-bengkok,alat,1.0
-betadine,alat,1.0
-doppler,alat,1.0
-gayung,alat,1.0
-gelas,alat,1.0
-handuk,alat,1.0
-kapas,bahan,1.0
-kasa,alat,1.0
-kasa,bahan,1.0
-kateter suction,alat,1.0
-kom,alat,1.0
-komb,alat,1.0
-nasafaringeal,bahan,1.0
-nasal kanul,alat,1.0
-nebulezer,alat,1.0
-nrm,alat,1.0
-oksigen,alat,1.0
-orofaringel,bahan,1.0
-perlak,alat,1.0
-pisvot,alat,1.0
-plaster,bahan,1.0
-pot sputum,alat,1.0
-rm,alat,1.0
-saturasi oksigen,alat,1.0
-slang nebulezer,alat,1.0
-spet 50,alat,1.0
-stetoskop,alat,1.0
-tissue,bahan,1.0
-tisu,bahan,1.0
-tong spatel,alat,1.0
0) Kantong jenazah jika diperlukan,alat,1.0
05 cc/ 1 cc ( 2 pcs),alat,1.0
05 ml,bahan,1.0
05 ml (untuk vaksin BCG),bahan,1.0
05 ml (untuk vaksin BCG) (1pcs),alat,1.0
05 ml 0,alat,1.0
1 Bak instrumen,alat,1.0
1 Foto,bahan,1.0
1 Kom,alat,1.0
1 Kopi,bahan,1.0
1 Latela,alat,1.0
1 Pen like,alat,1.0
1 Set alat ganti balut,alat,1.0
1 Set redresing,alat,1.0
1 Set skintraksi,alat,1.0
1 Stetoskop,alat,1.0
1 Tisu,bahan,1.0
1 Tong spatel,alat,1.0
1 berisi betadin,alat,1.0
1 buah washlap,alat,1.0
1 cc,bahan,1.0
1 kiri),alat,1.0
1 kotak Handscoon,bahan,1.0
1 set alat pemasangan kateter,alat,1.0
1 set bantuan adl pada lansia,alat,1.0
1 set bantuan adl pada lansia,bahan,1.0
1 set latihan fisik pada lansia,alat,1.0
1 set latihan fisik pada lansia,bahan,1.0
1 set latihan kognitif,alat,1.0
1 set latihan kognitif,bahan,1.0
1 set pemasangan kateter,bahan,1.0
1 untuk air ketuban),alat,1.25
1 untuk air ketuban),bahan,1.0
1/2 Kocher,alat,1.0
10 cc,bahan,1.0
10 cc (2 bh),bahan,1.0
2 Baskom mandi,alat,1.2
2 badung bayi,alat,1.0
2 buah handuk,alat,1.0
2 buah sisir,alat,1.0
2 kain dan 2 handuk bersih dan kering,alat,1.25
2 kain dan 2 handuk bersih dan kering,bahan,1.0
2 kain dan 2 handuk bersih dan kering Lampu sorot 60 watt,alat,1.0
2 kom 2handuk Alas meja,alat,1.0
2 lagi kosong),alat,1.0
2 pantom bayi,alat,1.0
20cc,bahan,1.0
20cc dan 10cc,alat,1.0
26G27G untuk subkutan/intradermal),bahan,1.0
2pcs,bahan,1.0
3W 1 pcs,alat,1.0
5 (1 buah),bahan,1.0
5 (1 pcs),bahan,1.0
5 CC,alat,1.0
5 Lembar portograf,alat,1.0
5 cc,bahan,1.0
5 cc (2 buah),bahan,1.17
5 cc 2 buah,alat,1.0
5 ml,bahan,1.0
5 ml (untuk vaksin selain BCG) (1pcs),alat,1.0
5 ml (untuk vaksin selain BCG) ADS 5 ml (untuk melarutkan vaksin) Kapas dan air matang,bahan,1.0
5 ml 1 ml sesuai jenis vaksin),alat,1.0
5 tisu,alat,1.0
5 tisu,bahan,1.0
50 cc (2 bh),bahan,1.0
9 (1 buah),bahan,1.33
9 (1 kolf),bahan,1.0
9 (100 mL),bahan,1.0
9 (1pcs),bahan,1.0
9 (3),bahan,1.0
9 (irigasi luka) Antiseptik luka Povidone iodine atau Chlorhexidine,bahan,1.5
9 (perineum) Antiseptik (sesuai SOP),bahan,1.14
9 (sesuai kebijakan),bahan,1.0
9 (untuk flushing),bahan,1.0
9 1 kolf,alat,2.0
9 1 kolf,bahan,2.0
9 1 kolf (1 pcs),alat,1.0
9 1 kolf (1 pcs),bahan,1.0
9 1 kolf kapas bulat,bahan,1.0
9 1 pcs Com kecil 1 pcs Gunting jaringan 1 pcs,alat,1.0
9 2 buah,bahan,1.0
9 2 kolf (untuk uji posisi),bahan,1.0
9 3 kolf,bahan,1.0
9 Antiseptik,bahan,2.2
9 Antiseptik kulit (povidone iodine/chlorhexidine),bahan,1.0
9 Betadine / povidone iodine,bahan,1.0
9 Sisir,alat,1.0
9 dalam spuit (untuk flushing),bahan,1.0
9 untuk Bengkok (nierbekken),alat,1.0
9) Alkohol 70,bahan,1.0
9) Cairan infus RL,bahan,1.0
92 btl irigator,alat,1.43
92 btl irigator,bahan,1.0
92 btl irigator Sterobach,alat,1.0
92 btl irigator Sterobach,bahan,1.67
92 btl irigator Sterobach (1),bahan,1.25
92 btl irigator SterobachPlester Hypafix,bahan,1.0
A Air masak/ nacl,alat,1.0
A Bak instrumen berisi,alat,1.0
A Bak instrumen berisi,bahan,1.0
A Com menengah,alat,1.0
A Skin traksi,alat,1.0
A Skin traksi ut dewasa,alat,1.0
ADS 0,alat,2.0
ADS 0,bahan,2.0
ADS 5 ml,bahan,1.0
ADS 5 ml (untuk melarutkan vaksin) (1pcs),alat,1.0
AED,alat,1.0
AED (Automated External,alat,1.0
AED (Automated External Defibrillator) atau defibrillator simulator,bahan,1.0
AED (Defibrilator,alat,1.0
AED 1,bahan,1.0
AED Trainer,alat,1.0
AED Trainer,bahan,1.0
ANC,alat,1.0
ANC,bahan,1.0
APD,alat,1.0
APD (2pcs),alat,1.0
APD (Celemek,alat,1.0
APD (handschoon,alat,1.11
APD (handschoon,bahan,1.5
APD (handscoon,alat,1.5
APD (handscoon,bahan,1.0
APD sarung tangan steril,bahan,1.0
Abocate no 16 atau 18,alat,2.5
Abocate no 16 atau 18,bahan,2.4
Abocath,bahan,1.0
Abocath / IV catheter (ukuran sesuai kebutuhan 1824G) Cairan infus (NaCl 0,bahan,1.0
Abocath / IV catheter Spuit,bahan,1.0
Abocath 1pcs Infus set 1,alat,1.0
Abocath no 16 18,alat,2.33
Abocath no 16 at 18 (1 pcs),alat,1.0
Abocath no 16 at 18 (1 pcs),bahan,1.0
Abocath no 16 at 18 Plester transparan Kassa steril 1 bks( isi 10) Giving infus set,bahan,2.0
Abocath/IV catheter (ukuran sesuai kebutuhan 1824G),alat,1.0
Acucheck,alat,1.0
Aed,alat,1.0
Air,bahan,1.0
Air DTT,bahan,1.0
Air DTT dalam tempatnya,alat,1.1
Air DTT dalam tempatnya,bahan,1.0
Air bersih,bahan,1.0
Air bersih / NaCl 0,bahan,1.14
Air dalam baskom,alat,1.0
Air dingin dan air hangat Sabun bayi,alat,2.0
Air dtt,bahan,2.33
Air hangat,alat,1.0
Air hangat,bahan,1.2
Air hangat (dalam baskom) Sabun cair / sabun mandi Waslap / kain lap,bahan,1.0
Air hangat NaCl 0,bahan,1.0
Air hangat Sabun Sampo Spons,bahan,1.0
Air hangat Sabun Sampo Spons Baju ganti,bahan,1.0
Air hangat Sampo,bahan,1.0
Air hangat sabun,bahan,1.0
Air hangat sabun Handscoon bersih,bahan,1.25
Air hangat sabun Handscoon bersih Masker,bahan,1.5
Air minum,alat,1.0
Air minum,bahan,4.5
Air minum (biasa),alat,1.0
Air minum (biasa),bahan,1.0
Air minum (biasa) (1 pcs),alat,1.0
Air minum (biasa) (1 pcs),bahan,1.0
Air steril atau NaCl 0,bahan,1.0
Alas (handuk atau perlak),alat,1.0
Alas anti slip,bahan,1.0
Alas anti slip Sandal/sepatu pasien Pakaian bersih Handuk,bahan,1.0
Alas bermain / matras,alat,1.0
Alas bermain / matras Timbangan bayi/anak,alat,1.0
Alas bokong (perlak dan alasnya),alat,1.0
Alas bokong atau perlak,alat,1.0
Alas box bayi 1 pcs,bahan,1.0
Alas box bayi 1 pcs Sarung tangan 1 kotak Handuk bayi 2,bahan,1.0
Alas makan/celemek (1pcs) Baki (1pcs),bahan,1.0
Alat,alat,1.0
Alat Batuk Efektif,alat,1.5
Alat EKG,alat,1.0
Alat Gluko cek (1 Pcs),alat,1.0
Alat Nebulizer,alat,2.33
Alat Perawatan Luka,alat,1.0
Alat Skin Traksi,alat,1.0
Alat Skin Traksi,bahan,1.0
Alat Suction,alat,2.0
Alat Transfusi,alat,2.33
Alat angkat dan imobilisasi (misalnya scoop stretcher),alat,1.0
Alat angkat dan imobilisasi (misalnya scoop stretcher),bahan,1.0
Alat angkat/ganjal jika diperlukan untuk elevasi,alat,1.0
Alat angkat/ganjal jika diperlukan untuk elevasi,bahan,1.0
Alat cek Hb (Hb meter),alat,1.0
Alat cek gula darah (glukometer),alat,1.0
Alat cukur,alat,1.0
Alat cukur,bahan,1.0
Alat cukur (clipper),alat,1.0
Alat cukur (clipper) Lampu periksa Nierbekken,alat,1.0
Alat cukur Handscoon Gunting Sketsel / tirai Handuk Kasa,alat,1.0
Alat cukur Handscoon Gunting Sketsel / tirai Handuk Kasa,bahan,1.0
Alat hitung RR (bila terpisah) Meja periksa / bed,alat,1.0
