iter	Passed	Remaining
0	40	16196
1	77	15372
2	117	15595
3	160	15933
4	203	16045
5	231	15223
6	268	15061
7	311	15247
8	352	15309
9	394	15385
10	416	14718
11	459	14845
12	500	14888
13	527	14540
14	562	14439
15	584	14031
16	592	13352
17	607	12899
18	636	12759
19	672	12769
20	714	12900
21	759	13044
22	789	12933
23	833	13056
24	877	13166
25	923	13282
26	967	13368
27	1010	13424
28	1054	13484
29	1075	13269
30	1117	13302
31	1139	13109
32	1180	13132
33	1221	13146
34	1261	13151
35	1275	12896
36	1314	12895
37	1346	12826
38	1387	12842
39	1429	12867
40	1456	12752
41	1484	12649
42	1514	12575
43	1530	12382
44	1546	12196
45	1591	12245
46	1636	12287
47	1657	12156
48	1678	12025
49	1686	11808
50	1694	11596
51	1717	11492
52	1747	11441
53	1763	11298
54	1784	11192
55	1823	11199
56	1844	11097
57	1864	10995
58	1905	11013
59	1932	10949
60	1974	10971
61	2013	10977
62	2055	10993
63	2094	10995
64	2134	10998
65	2173	10997
66	2193	10901
67	2214	10809
68	2252	10806
69	2295	10822
70	2338	10834
71	2374	10816
72	2406	10781
73	2430	10707
74	2453	10632
75	2469	10526
76	2476	10390
77	2495	10301
78	2521	10243
79	2543	10175
80	2567	10111
81	2591	10048
82	2599	9927
83	2614	9834
84	2636	9770
85	2657	9703
86	2678	9636
87	2699	9572
88	2704	9449
89	2724	9383
90	2744	9317
91	2762	9247
92	2784	9193
93	2802	9123
94	2822	9062
95	2840	8993
96	2860	8934
97	2874	8858
98	2895	8804
99	2915	8745
100	2919	8643
101	2956	8636
102	2977	8585
103	3000	8540
104	3017	8476
105	3044	8443
106	3061	8383
107	3087	8348
108	3114	8313
109	3137	8272
110	3161	8231
111	3173	8161
112	3198	8124
113	3223	8087
114	3255	8067
115	3286	8045
116	3316	8021
117	3347	7999
118	3378	7977
119	3406	7947
120	3430	7909
121	3453	7868
122	3477	7832
123	3502	7794
124	3528	7762
125	3554	7730
126	3578	7692
127	3602	7655
128	3626	7617
129	3650	7581
130	3673	7543
131	3696	7505
132	3720	7469
133	3744	7432
134	3767	7395
135	3791	7359
136	3806	7307
137	3829	7270
138	3852	7234
139	3875	7197
140	3899	7163
141	3922	7127
142	3946	7091
143	3971	7060
144	3995	7027
145	4021	6997
146	4046	6963
147	4070	6930
148	4092	6893
149	4113	6855
150	4136	6820
151	4156	6782
152	4176	6742
153	4196	6703
154	4220	6671
155	4242	6635
156	4262	6597
157	4282	6558
158	4303	6522
159	4322	6484
160	4342	6446
161	4363	6410
162	4384	6374
163	4404	6338
164	4424	6301
165	4444	6265
166	4465	6229
167	4488	6198
168	4515	6171
169	4544	6147
170	4566	6115
171	4588	6082
172	4609	6047
173	4631	6016
174	4651	5980
175	4671	5945
176	4693	5912
177	4713	5878
178	4734	5845
179	4756	5813
180	4777	5780
181	4797	5747
182	4818	5713
183	4838	5680
184	4858	5646
185	4879	5613
186	4900	5581
187	4919	5547
188	4939	5514
189	4958	5480
190	4979	5449
191	5000	5416
192	5021	5386
193	5048	5360
194	5071	5331
195	5091	5299
196	5112	5268
197	5133	5236
198	5154	5206
199	5175	5175
200	5194	5143
201	5214	5111
202	5235	5080
203	5256	5050
204	5277	5019
205	5298	4990
206	5319	4959
207	5339	4928
208	5360	4898
209	5380	4867
210	5400	4837
211	5418	4804
212	5438	4774
213	5459	4744
214	5479	4714
215	5499	4684
216	5520	4655
217	5541	4626
218	5561	4596
219	5581	4566
220	5602	4537
221	5622	4508
222	5642	4478
223	5663	4449
224	5684	4420
225	5704	4391
226	5726	4364
227	5747	4336
228	5767	4306
229	5788	4278
230	5808	4249
231	5829	4221
232	5850	4193
233	5871	4165
234	5892	4137
235	5912	4108
236	5932	4080
237	5952	4051
238	5974	4024
239	5994	3996
240	6015	3968
241	6035	3940
242	6055	3912
243	6077	3885
244	6097	3857
245	6117	3829
246	6137	3801
247	6157	3774
248	6177	3746
249	6197	3718
250	6217	3691
251	6237	3663
252	6257	3635
253	6277	3608
254	6298	3581
255	6317	3553
256	6337	3526
257	6357	3498
258	6377	3471
259	6398	3445
260	6418	3418
261	6439	3391
262	6458	3364
263	6479	3337
264	6499	3310
265	6518	3283
266	6537	3256
267	6557	3229
268	6576	3202
269	6597	3176
270	6617	3150
271	6639	3124
272	6660	3098
273	6681	3072
274	6702	3046
275	6722	3020
276	6743	2994
277	6763	2967
278	6783	2941
279	6804	2916
280	6824	2890
281	6844	2864
282	6864	2838
283	6885	2812
284	6906	2786
285	6926	2760
286	6946	2734
287	6965	2708
288	6987	2683
289	7014	2660
290	7034	2634
291	7054	2609
292	7075	2583
293	7096	2558
294	7116	2532
295	7137	2507
296	7158	2482
297	7179	2457
298	7199	2431
299	7219	2406
300	7239	2381
301	7259	2355
302	7279	2330
303	7299	2305
304	7319	2279
305	7339	2254
306	7359	2229
307	7379	2204
308	7400	2179
309	7421	2154
310	7444	2130
311	7463	2105
312	7485	2080
313	7508	2056
314	7528	2031
315	7549	2006
316	7570	1982
317	7590	1957
318	7611	1932
319	7634	1908
320	7654	1883
321	7674	1859
322	7695	1834
323	7713	1809
324	7739	1786
325	7761	1761
326	7781	1737
327	7801	1712
328	7823	1688
329	7843	1663
330	7867	1639
331	7887	1615
332	7913	1592
333	7933	1567
334	7953	1543
335	7977	1519
336	7999	1495
337	8019	1471
338	8039	1446
339	8061	1422
340	8082	1398
341	8102	1374
342	8122	1349
343	8142	1325
344	8162	1301
345	8182	1277
346	8203	1252
347	8224	1229
348	8246	1205
349	8269	1181
350	8290	1157
351	8310	1133
352	8330	1109
353	8351	1085
354	8372	1061
355	8395	1037
356	8416	1013
357	8436	989
358	8457	965
359	8476	941
360	8496	917
361	8516	893
362	8536	870
363	8556	846
364	8577	822
365	8597	798
366	8618	774
367	8640	751
368	8660	727
369	8682	704
370	8706	680
371	8726	656
372	8745	633
373	8766	609
374	8786	585
375	8807	562
376	8832	538
377	8852	515
378	8872	491
379	8893	468
380	8913	444
381	8933	420
382	8953	397
383	8972	373
384	8992	350
385	9018	327
386	9056	304
387	9082	280
388	9105	257
389	9130	234
390	9151	210
391	9172	187
392	9193	163
393	9214	140
394	9235	116
395	9256	93
396	9278	70
397	9298	46
398	9317	23
399	9338	0
